source,target,length,max_speed,is_priority_road,is_one_way,patch_id,tags
N0-0,N0-1,500,50,false,false,P0-0,
N0-1,N0-0,500,50,false,false,P0-0,
N0-1,N0-2,500,50,false,false,P0-0,
N0-2,N0-1,500,50,false,false,P0-0,
N0-2,N0-3,500,50,false,false,P0-0,
N0-3,N0-2,500,50,false,false,P0-1,
N0-3,N0-4,500,50,false,false,P0-1,
N0-4,N0-3,500,50,false,false,P0-1,
N0-4,N0-5,500,50,false,false,P0-1,
N0-5,N0-4,500,50,false,false,P0-1,
N0-5,N0-6,500,50,false,false,P0-1,
N0-6,N0-5,500,50,false,false,P0-2,
N0-6,N0-7,500,50,false,false,P0-2,
N0-7,N0-6,500,50,false,false,P0-2,
N0-7,N0-8,500,50,false,false,P0-2,
N0-8,N0-7,500,50,false,false,P0-2,
N1-0,N1-1,500,50,false,false,P0-0,
N1-1,N1-0,500,50,false,false,P0-0,
N1-1,N1-2,500,50,false,false,P0-0,
N1-2,N1-1,500,50,false,false,P0-0,
N1-2,N1-3,500,50,false,false,P0-0,
N1-3,N1-2,500,50,false,false,P0-1,
N1-3,N1-4,500,50,false,false,P0-1,
N1-4,N1-3,500,50,false,false,P0-1,
N1-4,N1-5,500,50,false,false,P0-1,
N1-5,N1-4,500,50,false,false,P0-1,
N1-5,N1-6,500,50,false,false,P0-1,
N1-6,N1-5,500,50,false,false,P0-2,
N1-6,N1-7,500,50,false,false,P0-2,
N1-7,N1-6,500,50,false,false,P0-2,
N1-7,N1-8,500,50,false,false,P0-2,
N1-8,N1-7,500,50,false,false,P0-2,
N2-0,N2-1,500,50,false,false,P0-0,
N2-1,N2-0,500,50,false,false,P0-0,
N2-1,N2-2,500,50,false,false,P0-0,
N2-2,N2-1,500,50,false,false,P0-0,
N2-2,N2-3,500,50,false,false,P0-0,
N2-3,N2-2,500,50,false,false,P0-1,
N2-3,N2-4,500,50,false,false,P0-1,
N2-4,N2-3,500,50,false,false,P0-1,
N2-4,N2-5,500,50,false,false,P0-1,
N2-5,N2-4,500,50,false,false,P0-1,
N2-5,N2-6,500,50,false,false,P0-1,
N2-6,N2-5,500,50,false,false,P0-2,
N2-6,N2-7,500,50,false,false,P0-2,
N2-7,N2-6,500,50,false,false,P0-2,
N2-7,N2-8,500,50,false,false,P0-2,
N2-8,N2-7,500,50,false,false,P0-2,
N3-0,N3-1,500,50,false,false,P1-0,
N3-1,N3-0,500,50,false,false,P1-0,
N3-1,N3-2,500,50,false,false,P1-0,
N3-2,N3-1,500,50,false,false,P1-0,
N3-2,N3-3,500,50,false,false,P1-0,
N3-3,N3-2,500,50,false,false,P1-1,
N3-3,N3-4,500,50,false,false,P1-1,
N3-4,N3-3,500,50,false,false,P1-1,
N3-4,N3-5,500,50,false,false,P1-1,
N3-5,N3-4,500,50,false,false,P1-1,
N3-5,N3-6,500,50,false,false,P1-1,
N3-6,N3-5,500,50,false,false,P1-2,
N3-6,N3-7,500,50,false,false,P1-2,
N3-7,N3-6,500,50,false,false,P1-2,
N3-7,N3-8,500,50,false,false,P1-2,
N3-8,N3-7,500,50,false,false,P1-2,
N4-0,N4-1,500,50,false,false,P1-0,
N4-1,N4-0,500,50,false,false,P1-0,
N4-1,N4-2,500,50,false,false,P1-0,
N4-2,N4-1,500,50,false,false,P1-0,
N4-2,N4-3,500,50,false,false,P1-0,
N4-3,N4-2,500,50,false,false,P1-1,
