source,target,length,max_speed,is_priority_road,is_one_way,patch_id,tags
N0-0,N0-1,500,50,false,false,0-0,
N0-1,N0-0,500,50,false,false,0-0,
N0-1,N0-2,500,50,false,false,0-0,
N0-2,N0-1,500,50,false,false,0-0,
N0-2,N0-3,500,50,false,false,0-0,
N0-3,N0-2,500,50,false,false,0-1,
N0-3,N0-4,500,50,false,false,0-1,
N0-4,N0-3,500,50,false,false,0-1,
N0-4,N0-5,500,50,false,false,0-1,
N0-5,N0-4,500,50,false,false,0-1,
N0-5,N0-6,500,50,false,false,0-1,
N0-6,N0-5,500,50,false,false,0-2,
N0-6,N0-7,500,50,false,false,0-2,
N0-7,N0-6,500,50,false,false,0-2,
N0-7,N0-8,500,50,false,false,0-2,
N0-8,N0-7,500,50,false,false,0-2,
N0-8,N0-9,500,50,false,false,0-2,
N0-9,N0-8,500,50,false,false,0-3,
N0-9,N0-10,500,50,false,false,0-3,
N0-10,N0-9,500,50,false,false,0-3,
N0-10,N0-11,500,50,false,false,0-3,
N0-11,N0-10,500,50,false,false,0-3,
N0-11,N0-12,500,50,false,false,0-3,
N0-12,N0-11,500,50,false,false,0-4,
N0-12,N0-13,500,50,false,false,0-4,
N0-13,N0-12,500,50,false,false,0-4,
N0-13,N0-14,500,50,false,false,0-4,
N0-14,N0-13,500,50,false,false,0-4,
N0-14,N0-15,500,50,false,false,0-4,
N0-15,N0-14,500,50,false,false,0-5,
N0-15,N0-16,500,50,false,false,0-5,
N0-16,N0-15,500,50,false,false,0-5,
N0-16,N0-17,500,50,false,false,0-5,
N0-17,N0-16,500,50,false,false,0-5,
N0-17,N0-18,500,50,false,false,0-5,
N0-18,N0-17,500,50,false,false,0-6,
N0-18,N0-19,500,50,false,false,0-6,
N0-19,N0-18,500,50,false,false,0-6,
N0-19,N0-20,500,50,false,false,0-6,
N0-20,N0-19,500,50,false,false,0-6,
N0-20,N0-21,500,50,false,false,0-6,
N0-21,N0-20,500,50,false,false,0-7,
N0-21,N0-22,500,50,false,false,0-7,
N0-22,N0-21,500,50,false,false,0-7,
N0-22,N0-23,500,50,false,false,0-7,
N0-23,N0-22,500,50,false,false,0-7,
N0-23,N0-24,500,50,false,false,0-7,
N0-24,N0-23,500,50,false,false,0-8,
N0-24,N0-25,500,50,false,false,0-8,
N0-25,N0-24,500,50,false,false,0-8,
N0-25,N0-26,500,50,false,false,0-8,
N0-26,N0-25,500,50,false,false,0-8,
N0-26,N0-27,500,50,false,false,0-8,
N0-27,N0-26,500,50,false,false,0-9,
N0-27,N0-28,500,50,false,false,0-9,
N0-28,N0-27,500,50,false,false,0-9,
N0-28,N0-29,500,50,false,false,0-9,
N0-29,N0-28,500,50,false,false,0-9,
N0-29,N0-30,500,50,false,false,0-9,
N0-30,N0-29,500,50,false,false,0-10,
N0-30,N0-31,500,50,false,false,0-10,
N0-31,N0-30,500,50,false,false,0-10,
N0-31,N0-32,500,50,false,false,0-10,
N0-32,N0-31,500,50,false,false,0-10,
N0-32,N0-33,500,50,false,false,0-10,
N0-33,N0-32,500,50,false,false,0-11,
N0-33,N0-34,500,50,false,false,0-11,
N0-34,N0-33,500,50,false,false,0-11,
N0-34,N0-35,500,50,false,false,0-11,
N0-35,N0-34,500,50,false,false,0-11,
N0-35,N0-36,500,50,false,false,0-11,
N0-36,N0-35,500,50,false,false,0-12,
N0-36,N0-37,500,50,false,false,0-12,
N0-37,N0-36,500,50,false,false,0-12,
N0-37,N0-38,500,50,false,false,0-12,
N0-38,N0-37,500,50,false,false,0-12,
N0-38,N0-39,500,50,false,false,0-12,
N0-39,N0-38,500,50,false,false,0-13,
N0-39,N0-40,500,50,false,false,0-13,
N0-40,N0-39,500,50,false,false,0-13,
N0-40,N0-41,500,50,false,false,0-13,
N0-41,N0-40,500,50,false,false,0-13,
N1-0,N1-1,500,50,false,false,0-0,
N1-1,N1-0,500,50,false,false,0-0,
N1-1,N1-2,500,50,false,false,0-0,
N1-2,N1-1,500,50,false,false,0-0,
N1-2,N1-3,500,50,false,false,0-0,
N1-3,N1-2,500,50,false,false,0-1,
N1-3,N1-4,500,50,false,false,0-1,
N1-4,N1-3,500,50,false,false,0-1,
N1-4,N1-5,500,50,false,false,0-1,
N1-5,N1-4,500,50,false,false,0-1,
N1-5,N1-6,500,50,false,false,0-1,
N1-6,N1-5,500,50,false,false,0-2,
N1-6,N1-7,500,50,false,false,0-2,
N1-7,N1-6,500,50,false,false,0-2,
N1-7,N1-8,500,50,false,false,0-2,
N1-8,N1-7,500,50,false,false,0-2,
N1-8,N1-9,500,50,false,false,0-2,
N1-9,N1-8,500,50,false,false,0-3,
N1-9,N1-10,500,50,false,false,0-3,
N1-10,N1-9,500,50,false,false,0-3,
N1-10,N1-11,500,50,false,false,0-3,
N1-11,N1-10,500,50,false,false,0-3,
N1-11,N1-12,500,50,false,false,0-3,
N1-12,N1-11,500,50,false,false,0-4,
N1-12,N1-13,500,50,false,false,0-4,
N1-13,N1-12,500,50,false,false,0-4,
